İSKENDERUN TEKNİK ÜNİVERSİTESİ
2025-2026 ÖĞRETİM YILI ÖN LİSANS/LİSANS AKADEMİK TAKVİMİ

| AKADEMİK TAKVİM FAALİYETLERİ                                                                                                                                                                                                                 | GÜZ DÖNEMİ TARİHLERİ       | BAHAR DÖNEMİ TARİHLERİ     |
| :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | :------------------------- | :------------------------- |
| Kurum içi ve Kurumlararası Yatay Geçiş Başvuru ve Kesin Kayıt Tarihleri (Sadece ön lisans programı öğrencileri, Bahar döneminde yatay geçiş başvurunda bulunabilecektir.)                                                                      |                            |                            |
| Yatay Geçiş Başvuru Tarihleri                                                                                                                                                                                                                | 01.08.2025-15.08.2025      |                            |
| Yatay Geçiş Başvuru Sonuçlarının Açıklanma Tarihi                                                                                                                                                                                            | 29/08/2025                 |                            |
| Yatay Geçiş Başvuru Sonuçlarına Göre Asil Kazananların Şahsen veya Noter Vekili Aracılığıyla Kesin Kayıt Tarihleri                                                                                                                            | 01.09.2025-05.09.2025      |                            |
| Yatay Geçiş Başvuru Sonuçlarına Göre Yedek Kazananlar İçin Açık Kalan Kontenjanların İlan Tarihi                                                                                                                                              | 10/09/2025                 |                            |
| Yatay Geçiş Başvuru Sonuçlarına Göre Kayıt Hakkı Kazanan Yedek Adayların Şahsen veya Noter Vekili Aracılığıyla Kesin Kayıt Tarihleri                                                                                                          | 11.09.2025-12.09.2025      |                            |
| Danışman Değişiklikleri ve Atamalarının Öğrenci İşleri Daire Başkanlığına Son Bildirim Tarihi                                                                                                                                                 | 29/08/2025                 | 12/01/2026                 |
| Açılacak Derslerin Öğrenci İşleri Daire Başkanlığına Son Bildirim Tarihi                                                                                                                                                                     | 29/08/2025                 | 12/01/2026                 |
| Ders Programlarının, Bölüm Başkanlıkları Tarafından Öğrenci İşleri Bilgi Sisteminde Tanımlanmasının Son Tarihi                                                                                                                                | 08/09/2025                 | 19/01/2026                 |
| On-line Ders Kayıtları ve Danışman Onayları                                                                                                                                                                                                  | 15.09.2025-19.09.2025      | 26.01.2026-30.01.2026      |
| Ders Ekle/Bırak Tarihleri                                                                                                                                                                                                                    | 22.09.2025-23.09.2025      | 02.02.2026-03.02.2026      |
| Dönem Başlama ve Bitiş Tarihleri                                                                                                                                                                                                             | 22.09.2025-04.01.2026      | 02.02.2026-24.05.2026      |
| 1. Sınıfların Bölüm Başkanlarıyla Oryantasyon Programı                                                                                                                                                                                       | 22.09.2025-26.09.2025      | -                          |
| Yeni Kayıt Yaptıran Öğrencilerin İlk Dönemlerinde Bir Defaya Mahsus Olmak Üzere Ders Muafiyetleri Başvurularının Son Tarihi                                                                                                                   | Muafiyet ve intibak başvuruları, Üniversitemiz akademik takviminde belirtilen eğitim-öğretim başlangıç tarihini takip eden en geç beş (5) iş günü içerisinde; eğitim-öğretim başladıktan sonra Üniversiteye kayıt olan öğrencilerin başvuruları ise, kayıt tarihini takip eden en geç beş (5) gün içerisinde yapılır. |                            |
| Kayıt Dondurma Başvurularının Son Tarihi                                                                                                                                                                                                     | 17/10/2025                 | 27/02/2026                 |
| Hazırlık Sınıfları Hariç 1. Sınıf Zorunlu İngilizce I ve İngilizce II Derslerinin Muafiyet Sınavı Tarihi                                                                                                                                      | 24/10/2025                 | -                          |
| Ara (Vize) Sınavlar                                                                                                                                                                                                                          | 15.11.2025-23.11.2025      | 28.03.2026-05.04.2026      |
| 2021-2022 Öğretim Yılından Önce Üniversitemizde Kayıtlı Öğrencilerin İsteğe Bağlı Dersten Çekilme İşlemleri Başvurularının Son Tarihi                                                                                                          | 12/12/2025                 | 24/04/2026                 |
| Yarıyıl Sonu Sınavları                                                                                                                                                                                                                       | 05.01.2026-16.01.2026      | 01.06.2026-12.06.2026      |
| Bütünleme Sınavları                                                                                                                                                                                                                          | 19.01.2026-25.01.2026      | 15.06.2026-21.06.2026      |
| Tek Ders Sınavı                                                                                                                                                                                                                              | 18/02/2026                 | 08/07/2026                 |
| Azami Öğrenim Süresini Dolduran, Son Sınıfta Olan ve Hiç Almadığı Ders Sayısı 5 veya 5'ten Az Olan Öğrencilerin Başarısız Oldukları Bütün Dersler İçin Yapılacak İki (2) Ek Sınavın Başvuru Tarihleri\*                                        | 26.01.2026-29.01.2026      | 07.09.2026-10.09.2026      |
| 1. Ek Sınavlar                                                                                                                                                                                                                               | 02.02.2026-05.02.2026      | 14.09.2026-17.09.2026      |
| 2. Ek Sınavlar                                                                                                                                                                                                                               | 09.02.2026-12.02.2026      | 21.09.2026-24.09.2026      |
